ID;Graduation_year;Q1_1;Q1_2;Q1_3;Q1_4;Q1_5;Q1_6;Q1_7;Q1_8;Q1_9;Q1_10;Q1_11;Q1_12;Q1_13;Q1_14;Q1_15;Q1_16;Q1_17;Q1_18;Q1_19;Q1_20;Total_1;Q2_1;Q2_2;Q2_3;Q2_4;Q2_5;Q2_6;Q2_7;Q2_8;Q2_9;Q2_10;Q2_11;Q2_12;Q2_13;Q2_14;Q2_15;Q2_16;Q2_17;Q2_18;Q2_19;Q2_20;Total_2;Comparison_1;Comparison_2;Comparison_3;Comparison_4;Comparison_5;Comparison_6;Comparison_7;Comparison_8;Comparison_9;Comparison_10;Comparison_11;Comparison_12;Comparison_13;Comparison_14;Comparison_15;Comparison_16;Comparison_17;Comparison_18;Comparison_19;DifferenceQ2_Q1
24;2016;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;1;1;14;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;15;2;2;2;2;2;2;2;2;0;2;2;1;2;1;2;0;2;1;1;1
27;2005;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;1;13;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;15;2;1;2;2;2;2;1;2;1;1;2;1;2;0;2;2;2;1;0;2
28;2018;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;13;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;16;2;1;2;2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;3
29;2015;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;14;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;0;15;2;2;2;2;2;2;1;2;1;1;2;1;0;2;2;2;2;2;1;1
30;2004;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;16;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2
31;1997;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;16;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;16;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;0
33;2020;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;1;13;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;18;2;1;2;2;1;2;2;2;1;2;2;1;2;1;2;1;2;1;2;5
34;2019;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;13;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;16;2;1;2;2;1;2;1;2;2;2;2;0;2;2;2;1;2;1;0;3
35;2018;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;10;1;0;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;12;2;0;1;2;1;1;1;2;1;1;1;1;1;1;2;0;2;1;2;2
36;2020;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;12;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;16;2;2;2;2;1;2;2;1;0;1;2;1;2;2;2;1;2;1;2;4
37;2015;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;3
38;2010;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;13;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;0;15;2;1;2;2;2;2;2;2;1;2;2;0;1;0;1;2;2;1;2;2
39;2018;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;16;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;17;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1
40;2010;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;14;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;1;2;2;2;0;2;2;2;2;2;2;1;2;1;2;4
41;2002;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;12;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;0;15;2;1;2;2;2;2;2;2;1;0;2;2;2;0;1;1;1;1;2;3
42;2015;1;0;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;11;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;16;2;1;2;2;2;2;2;1;0;2;2;1;1;1;2;1;2;1;1;5
43;2005;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;14;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;1;2;2;2;0;2;2;2;2;2;2;1;2;1;2;4
44;2015;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;15;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;15;2;1;2;2;2;2;1;2;1;2;2;2;2;1;2;0;2;1;2;0
45;1996;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;15;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;16;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;1;2;1;1;1
46;2009;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0;12;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;1;2;2;2;1;1;2;2;1;2;2;1;2;1;2;6
47;1.991;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;14;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;16;2;1;2;2;1;2;2;2;1;2;2;1;2;2;1;1;2;1;1;2
49;2016;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;18;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;0;5
50;2022;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;0;12;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;17;2;2;2;1;1;2;2;2;1;1;2;1;2;2;2;1;2;1;2;5
51;2004;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;13;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;1;5
52;2021;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;13;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;17;2;1;2;2;2;2;2;2;1;2;2;0;1;2;2;1;2;1;2;4
53;2022;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;18;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;0;5
54;2015;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;14;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;1;2;2;2;0;2;2;2;2;2;2;1;2;2;2;4
55;2016;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;12;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;1;2;2;2;1;2;2;2;1;1;2;1;2;1;2;6
56;1991;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;14;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;17;2;1;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;1;2;3
57;2019;1;0;1;1;0;1;1;0;0;1;1;0;1;1;1;0;1;0;1;0;11;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;17;2;1;2;1;1;2;2;1;0;2;2;1;2;2;2;1;2;1;2;6
58;2013;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;12;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;15;2;2;2;2;1;2;2;2;1;1;1;0;2;1;2;1;2;1;2;3
59;2021;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;11;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;1;7
60;1988;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;16;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;14;2;1;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;1;0;-2
61;2000;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;17;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;2
62;2019;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;3
63;2023;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;12;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;1;2;1;2;2;2;0;2;2;1;1;2;2;1;2;2;2;6
65;2010;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;10;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;15;2;1;1;2;1;1;2;2;0;1;2;2;1;0;2;1;2;2;1;5
68;1989;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;13;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;16;2;1;2;2;1;2;2;2;1;1;2;1;1;1;2;1;2;2;2;3
70;2018;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;14;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;17;2;1;2;2;2;2;2;2;1;2;1;1;2;2;2;1;2;1;2;3
71;1999;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;13;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;1;0;13;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;0;1;2;1;0
72;2018;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;11;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;17;2;1;2;2;1;2;2;2;1;2;2;1;1;2;2;1;2;0;1;6
73;2024;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;11;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;16;0;1;1;2;2;2;1;2;2;2;2;1;2;1;2;0;2;1;1;5
74;2021;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;11;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;14;2;1;1;2;2;2;2;2;1;2;2;0;2;0;1;1;2;0;1;3
75;2002;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;0;0;1;12;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;15;2;1;2;2;2;2;2;2;0;2;1;2;1;1;0;1;2;1;1;3
76;1997;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;14;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;0;12;0;1;2;2;2;2;1;2;1;0;2;2;1;1;1;0;2;2;1;-2
77;2021;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;16;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;0;1;1
78;2022;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;19;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;6
79;1996;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;14;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;16;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2
80;2022;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;14;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;14;2;2;1;2;1;2;2;2;1;1;2;2;2;1;1;1;2;1;2;0
81;2017;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;12;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;16;2;2;2;1;2;2;2;2;1;2;2;1;2;2;1;1;2;0;1;4
83;2022;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;14;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;1;0;13;1;1;2;2;1;2;2;2;0;2;2;1;0;1;2;2;2;0;2;-1
84;2022;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;15;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;1;0;0;13;2;2;1;2;1;2;1;2;1;2;2;1;2;1;1;1;2;2;1;-2
85;2017;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;11;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;15;2;1;2;2;1;2;2;2;1;1;2;2;0;2;2;1;1;1;0;4
87;1995;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;12;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;14;2;1;2;2;0;1;2;2;1;1;2;1;1;1;1;1;1;2;2;2
88;1989;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;14;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;16;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2
89;2018;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;13;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0;15;2;1;2;2;1;2;1;2;1;2;2;2;1;1;2;1;2;0;2;2
90;2018;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;10;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;14;0;1;2;2;1;2;1;2;1;0;1;2;1;1;2;1;2;1;1;4
91;1994;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;16;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;17;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;2;1
92;2018;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;12;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;17;2;2;2;1;1;2;2;2;1;2;2;1;2;2;2;1;2;1;1;5
93;2005;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;2;3
94;2019;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;2;3
95;2022;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;11;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;17;2;1;1;2;2;2;2;2;1;1;2;1;2;1;2;1;2;1;1;6
97;11;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;12;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;17;2;1;2;2;1;2;2;2;1;2;2;1;2;1;2;1;2;1;0;5
98;1989;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;15;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;18;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;3
99;2007;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;15;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;16;2;0;2;2;2;2;2;2;2;1;2;1;2;1;2;1;2;2;2;1
100;1996;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;13;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;17;2;1;2;2;1;1;2;2;1;2;1;1;2;1;2;2;2;2;2;4
102;2020;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;13;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;14;2;1;2;2;1;2;2;1;1;2;1;1;2;2;2;0;2;1;1;1
103;2019;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;13;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;16;2;1;2;2;2;1;2;2;1;1;2;1;2;1;2;1;2;1;1;3
104;2022;1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;12;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;13;1;1;1;2;1;2;1;1;1;1;2;2;1;1;2;0;2;2;2;1
106;2017;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;13;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;18;2;2;2;2;2;2;2;2;1;2;2;2;0;2;1;1;2;2;2;5
107;1992;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;13;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;16;2;1;2;2;1;2;1;2;1;2;2;1;2;1;2;1;2;2;1;3
108;2023;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;1;0;12;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;15;2;1;2;2;2;2;0;2;0;2;2;1;2;1;2;0;2;1;2;3
109;2016;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;13;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;16;2;2;2;2;2;1;1;2;2;2;1;2;2;2;1;0;1;2;2;3
110;2019;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;9;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;14;2;1;1;2;2;2;0;2;1;1;2;1;2;1;2;0;1;0;1;5
111;1987;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;10;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;11;2;1;1;2;2;0;1;2;0;1;2;1;1;0;2;0;2;1;1;1
112;2005;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;14;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;16;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;0;2
